date,open,high,low,close,volume
2001/1/2,2196.23,2224.67,2193.92,2224.59,846.6
2001/1/3,2229.72,2246.69,2226.71,2246.69,1102.59
2001/1/4,2248.39,2249.89,2235.13,2239.3,958.84
2001/1/5,2239.58,2247.99,2235.73,2247.9,970.01
2001/1/8,2251.44,2255.06,2213.01,2223.8,1082.33
2001/1/9,2220.86,2233.45,2203.75,2223,811.89
2001/1/10,2224.02,2248.3,2224,2248.25,875.51
2001/1/11,2252.53,2254.35,2239.3,2241.58,971.23
2001/1/12,2239.12,2240.1,2221.63,2226.24,757.06
2001/1/15,2218.04,2218.04,2147.33,2149.57,883.98
2001/1/16,2134.42,2164.65,2124.24,2164.62,735.17
2001/1/17,2165.15,2167.35,2149.61,2152.62,467.7
2001/1/18,2151.66,2168.15,2151.54,2161.4,573.57
2001/1/19,2165.12,2187.55,2165.07,2185.2,613.85
2001/2/5,2189.75,2192.63,2121.93,2124.35,532.29
2001/2/6,2115.45,2115.45,2069.5,2110.72,582.75
2001/2/7,2111.03,2113.79,2093,2094.41,399.24
2001/2/8,2091.86,2101.96,2038.26,2042.17,480.99
2001/2/9,2047.58,2077.47,2047.58,2070.82,565.9
2001/2/12,2072.63,2076.22,2048.35,2075.57,457.76
2001/2/13,2076.96,2088.88,2073.13,2077.96,364.82
2001/2/14,2077.11,2081.45,2070.25,2077.32,302.97
2001/2/15,2077.59,2081.18,2057.42,2059.5,296.09
2001/2/16,2054.76,2054.84,2022.86,2054.43,457.31
2001/2/19,2055.09,2082.88,2047.5,2080.96,356.25
2001/2/20,2083.34,2094.7,2059.24,2065.62,450.41
2001/2/21,2060.48,2060.48,2009.95,2018.65,554.35
2001/2/22,2010.8,2032.7,2002.01,2016.43,381.82
2001/2/23,2016.06,2047.87,2015.68,2047.56,426.55
2001/2/26,2052.3,2067.29,2046.71,2067.2,523.25
2001/2/27,2068.89,2075.32,2058.94,2075.06,494.67
2001/2/28,2077.12,2077.73,2061.7,2069.56,461.06
2001/3/1,2069.28,2076.94,2061.04,2073.24,803.94
2001/3/2,2075.77,2094.23,2075.67,2091.7,643.94
2001/3/5,2095.1,2097.8,2082.64,2087.5,510.97
2001/3/6,2086.81,2091.95,2078.28,2091.95,520.27
2001/3/7,2093.48,2099.18,2090.02,2095.64,541.87
2001/3/8,2096.1,2107.17,2094.51,2105.96,519.81
2001/3/9,2108.35,2118.44,2103.95,2114.91,831.41
2001/3/12,2116.19,2118.34,2106.91,2114.09,520.48
2001/3/13,2113.47,2114.13,2093.35,2099.87,476.39
2001/3/14,2097.41,2120.18,2096.12,2120.18,494.12
2001/3/15,2121.41,2129.3,2119.76,2125.03,658.24
2001/3/16,2125.48,2126.52,2114.48,2122.84,607.45
2001/3/19,2122.49,2138.87,2119.61,2138.86,691.75
2001/3/20,2141.64,2148.61,2139.6,2148.45,637.81
2001/3/21,2150.35,2169.55,2149.22,2169.55,791.46
2001/3/22,2174.37,2189.54,2170.82,2189.54,1044.15
2001/3/23,2192.9,2195.6,2155.55,2156.61,936.57
2001/3/26,2154.73,2192.19,2154.73,2192.07,764.53
2001/3/27,2198.38,2209.28,2193.01,2209.23,808.54
2001/3/28,2211.76,2215.07,2198.62,2208.45,803.46
2001/3/29,2208.83,2213.44,2198.79,2203.28,810.77
2001/3/30,2202.87,2214.75,2197.95,2214.69,761.6
2001/4/2,2219.4,2228.76,2216.37,2226.9,859.45
2001/4/3,2229.65,2231.73,2210.39,2224.51,714.92
2001/4/4,2225.37,2229.82,2185.06,2190.97,873.76
2001/4/5,2185,2213.84,2181.74,2213.82,681.67
2001/4/6,2217.65,2223.49,2203.5,2209.03,615.9
2001/4/9,2209.27,2217.61,2200.68,2217.58,705.7
2001/4/10,2219.77,2228.93,2219.58,2228.86,616.41
2001/4/11,2231.26,2234.95,2220.95,2231.06,640.19
2001/4/12,2232.43,2241.43,2223.89,2234.24,863.02
2001/4/13,2235.11,2245.18,2230.18,2245.14,760.51
2001/4/16,2250.24,2267.93,2250.23,2267.91,1087.91
2001/4/17,2273.25,2277.15,2262.6,2275.91,1123.24
2001/4/18,2277.21,2278.92,2265.63,2270.32,1019.13
2001/4/19,2269.96,2273.17,2245.82,2270.34,1005.21
2001/4/20,2271.6,2276.65,2248.19,2248.51,1184.35
2001/4/23,2246.58,2253.79,2228.68,2247.22,1036.77
2001/4/24,2248.23,2262.03,2248.23,2262.01,759.04
2001/4/25,2263.76,2265.81,2208.9,2213.28,937.91
2001/4/26,2207.18,2219.73,2196.47,2199.3,721.67
2001/4/27,2198.41,2216.03,2198.41,2211.52,589.53
2001/4/30,2213.62,2219,2208.18,2214.49,547.57
2001/5/8,2214.44,2231.73,2214.44,2231.69,418.9
2001/5/9,2233.98,2235.74,2220.65,2226.31,527.12
2001/5/10,2227.56,2240.61,2227.56,2240.55,584.64
2001/5/11,2243.63,2248.56,2237.67,2248.54,575.88
2001/5/14,2254.95,2272.49,2253.43,2272.23,878.05
2001/5/15,2278.72,2285.29,2270.94,2285.29,921.67
2001/5/16,2289.64,2293.61,2281.57,2293.33,923.83
2001/5/17,2295.83,2298.92,2280.93,2287.83,904.93
2001/5/18,2287.79,2296.71,2279.74,2296.71,881.01
2001/5/21,2301.15,2305.84,2295.61,2305.68,1078.05
2001/5/22,2307.68,2310.3,2296.3,2300.79,758.51
2001/5/23,2300.84,2303.17,2265.56,2287.55,853.87
2001/5/24,2288.07,2292.24,2282.13,2287.03,802.4
2001/5/25,2288.31,2292.76,2269.12,2280.92,710.51
2001/5/28,2281.43,2281.65,2256.62,2264.39,802.24
2001/5/29,2261.87,2273.64,2261.83,2268.58,620.43
2001/5/30,2269.63,2298.16,2269.54,2298.15,658.8
2001/5/31,2304.57,2309.08,2294.97,2299.71,795.73
2001/6/1,2301.93,2309.06,2299.09,2307.6,890.28
2001/6/4,2312.69,2318.33,2310.3,2318.33,1017.41
2001/6/5,2321.34,2327.39,2318.93,2327.17,916.49
2001/6/6,2329.92,2332.47,2315.24,2328.32,954.5
2001/6/7,2330.47,2331.89,2312.75,2319.26,789.22
2001/6/8,2318.75,2318.87,2301.4,2313.63,721.9
2001/6/11,2314.76,2317.76,2301.71,2309.72,713.43
2001/6/12,2309.44,2319.79,2309.35,2319.79,719.34
2001/6/13,2323.86,2337.92,2323.55,2337.92,867.32
2001/6/14,2338.76,2341.02,2295.91,2297.38,1016.83
2001/6/15,2291.67,2306.97,2283.12,2306,842.51
2001/6/18,2307.11,2309.24,2250.12,2261.04,916.36
