Date,Open,High,Low,Close, Volume,Turnover
20041231,,,,1000.00,829821146.00,50.55
20050104,995.42,995.42,982.74,984.64,785673530.00,45.70
20050105,983.55,999.17,983.48,996.04,858145250.00,52.59
20050106,996.75,996.75,984.33,987.06,723711059.00,44.01
20050107,986.33,999.62,984.03,988.33,831145398.00,53.00
20050110,987.78,997.70,984.35,997.70,698390802.00,44.44
20050111,997.90,1002.72,994.39,1000.49,692272529.00,43.03
20050112,997.17,999.04,991.77,999.04,619943237.00,37.20
20050113,998.12,1001.96,995.97,999.76,781109146.00,49.18
20050114,999.52,1007.21,990.57,990.76,905197671.00,50.83
20050117,981.70,983.62,968.35,970.36,977991099.00,53.98
20050118,970.12,978.54,964.66,978.54,987397633.00,53.72
20050119,978.15,978.15,969.62,971.61,850545685.00,44.72
20050120,967.91,967.91,956.75,960.70,975888106.00,54.54
20050121,958.98,985.16,948.97,984.76,1709866445.00,94.76
20050124,995.58,1001.13,989.78,1000.66,1762200869.00,99.54
20050125,998.00,998.00,987.08,997.83,1140326237.00,68.68
20050126,993.69,998.03,988.43,989.12,885085633.00,52.09
20050127,986.58,986.58,973.09,973.41,851810917.00,48.29
20050128,973.41,973.78,963.28,966.33,749166000.00,40.66
20050131,962.72,962.72,947.58,948.54,852562447.00,46.18
20050201,946.71,957.78,945.76,947.53,919914138.00,50.66
20050202,948.03,997.44,948.03,997.44,1887459829.00,108.92
20050203,996.14,1002.02,982.12,982.76,1883986412.00,107.49
20050204,981.81,1007.35,979.42,1004.13,1646880090.00,96.43
20050216,1010.11,1019.85,1006.35,1011.19,1332622660.00,77.69
20050217,1011.81,1011.81,1000.04,1010.20,1093639714.00,62.90
20050218,1009.71,1009.80,995.80,995.92,1016149473.00,56.11
20050221,996.18,1014.23,996.18,1014.23,1149582378.00,66.42
20050222,1015.35,1036.50,1013.48,1035.56,2203678758.00,127.01
20050223,1035.63,1040.23,1027.84,1035.55,2298751952.00,132.13
20050224,1034.09,1037.70,1028.38,1037.70,1906163816.00,111.29
20050225,1038.52,1050.34,1038.52,1039.14,2270647426.00,136.39
20050228,1038.67,1039.69,1029.16,1032.70,1662897751.00,99.30
20050301,1031.83,1035.06,1024.60,1029.75,1349372291.00,78.63
20050302,1029.87,1037.35,1014.82,1014.99,1692815762.00,101.54
20050303,1013.23,1020.86,1008.30,1020.67,1114687933.00,65.03
20050304,1020.79,1023.79,1014.97,1016.10,996360364.00,62.17
20050307,1016.74,1022.88,1016.74,1021.39,979655260.00,61.12
20050308,1024.79,1040.18,1024.51,1040.18,1641244287.00,108.47
20050309,1042.38,1045.33,1033.95,1039.00,1835705060.00,114.76
20050310,1039.04,1039.04,1012.43,1014.87,1584364445.00,97.24
20050311,1013.40,1020.18,1010.19,1020.12,1349358459.00,88.47
20050314,1019.86,1032.00,1008.22,1022.40,1674572738.00,115.33
20050315,1022.23,1022.23,1005.01,1006.31,1430074283.00,93.49
20050316,1004.62,1004.72,990.75,996.62,1252590812.00,81.38
20050317,995.58,997.60,986.01,986.13,1173114199.00,75.14
20050318,984.80,988.53,968.67,971.26,1159346155.00,73.57
20050321,969.67,974.78,965.62,973.47,861834030.00,53.15
20050322,972.91,972.91,950.68,954.80,1333910660.00,78.88
20050323,953.44,965.38,946.03,950.03,1277662390.00,80.33
20050324,948.34,956.10,939.84,956.10,1093011325.00,72.74
20050325,955.67,958.31,951.48,954.45,870028777.00,50.17
20050328,953.05,953.05,939.54,951.49,833979735.00,49.11
20050329,951.12,957.88,945.23,945.52,875849044.00,53.51
20050330,943.11,943.11,926.42,926.55,1049586424.00,61.09
20050331,924.46,932.19,918.78,932.19,942517700.00,51.71
20050401,931.56,976.40,927.66,966.52,1894040066.00,111.63
20050404,957.29,960.47,949.78,950.18,1307081668.00,79.99
20050405,948.49,953.83,941.91,943.12,1105008267.00,67.05
20050406,943.12,960.86,935.84,958.78,1625928920.00,105.92
20050407,960.51,984.51,958.93,970.87,2366203582.00,144.91
20050408,970.65,987.87,965.57,987.87,1706665985.00,100.02
20050411,987.99,993.24,979.06,981.53,1894273666.00,116.45
20050412,979.90,979.90,963.55,963.90,1218641222.00,72.58
20050413,971.87,989.68,971.87,986.08,1856637098.00,109.29
20050414,989.59,989.59,971.85,972.74,1576587290.00,89.44
20050415,968.57,968.57,956.65,958.18,1303983976.00,76.03
20050418,954.96,954.96,941.63,945.91,1050982383.00,60.03
20050419,945.04,949.33,940.00,947.81,1076798971.00,62.67
